Target type`Target member`Assembly`.NET Framework`.NET Standard`Recommended changes
T:System.Web.HttpRequestBase`M:System.Web.HttpRequestBase.get_ApplicationPath`Voat.Tests`Supported: 3.5+`Not supported`
T:System.Web.HttpRequestBase`M:System.Web.HttpRequestBase.get_Cookies`Voat.UI`Supported: 3.5+`Not supported`
T:System.Web.HttpRequestBase`M:System.Web.HttpRequestBase.get_Form`Voat.UI`Supported: 3.5+`Not supported`
T:System.Web.HttpRequestBase`M:System.Web.HttpRequestBase.get_Headers`Voat.Business`Supported: 3.5+`Not supported`
T:System.Web.HttpRequestBase`M:System.Web.HttpRequestBase.get_Headers`Voat.Tests`Supported: 3.5+`Not supported`
T:System.Web.HttpRequestBase`M:System.Web.HttpRequestBase.get_Headers`Voat.UI`Supported: 3.5+`Not supported`
T:System.Web.HttpRequestBase`M:System.Web.HttpRequestBase.get_HttpMethod`Voat.Tests`Supported: 3.5+`Not supported`
T:System.Web.HttpRequestBase`M:System.Web.HttpRequestBase.get_Params`Voat.UI`Supported: 3.5+`Not supported`
T:System.Web.HttpRequestBase`M:System.Web.HttpRequestBase.get_QueryString`Voat.UI`Supported: 3.5+`Not supported`
T:System.Web.HttpRequestBase`M:System.Web.HttpRequestBase.get_RawUrl`Voat.UI`Supported: 3.5+`Not supported`
T:System.Web.HttpRequestBase`M:System.Web.HttpRequestBase.get_RequestContext`Voat.UI`Supported: 4.0+`Not supported`
T:System.Web.HttpRequestBase`M:System.Web.HttpRequestBase.get_ServerVariables`Voat.Tests`Supported: 3.5+`Not supported`
T:System.Web.HttpRequestBase`M:System.Web.HttpRequestBase.get_ServerVariables`Voat.UI`Supported: 3.5+`Not supported`
T:System.Web.HttpRequestBase`M:System.Web.HttpRequestBase.get_Url`Voat.Tests`Supported: 3.5+`Not supported`
T:System.Web.HttpRequestBase`M:System.Web.HttpRequestBase.get_Url`Voat.UI`Supported: 3.5+`Not supported`
T:System.Web.HttpRequestBase`M:System.Web.HttpRequestBase.get_UrlReferrer`Voat.UI`Supported: 3.5+`Not supported`
T:System.Web.HttpRequestBase`M:System.Web.HttpRequestBase.get_UserAgent`Voat.UI`Supported: 3.5+`Not supported`
T:System.Web.HttpRequestBase`M:System.Web.HttpRequestBase.get_UserHostAddress`Voat.Business`Supported: 3.5+`Not supported`
